date,USDSGD,USDCNY,USDEUR,USDGBP,USDCHF,USDJPY,USDGOLD
08/09/2016 00:00,1.351,6.678,0.888,0.752,0.973,102.415,1336.3
09/09/2016 00:00,1.359,6.685,0.89,0.754,0.975,102.69,1330.1
12/09/2016 00:00,1.357,6.68,0.89,0.75,0.972,101.91,1320.0
13/09/2016 00:00,1.367,6.681,0.892,0.758,0.977,102.57,1319.7
14/09/2016 00:00,1.363,6.674,0.889,0.755,0.973,102.38,1322.2
15/09/2016 00:00,1.362,6.685,0.889,0.755,0.972,102.08,1313.5
16/09/2016 00:00,1.368,6.673,0.896,0.769,0.98,102.28,1312.6
19/09/2016 00:00,1.362,6.671,0.895,0.767,0.98,101.875,1313.2
20/09/2016 00:00,1.362,6.676,0.897,0.77,0.979,101.705,1312.6
21/09/2016 00:00,1.354,6.645,0.894,0.767,0.973,100.38,1326.9
22/09/2016 00:00,1.356,6.668,0.892,0.765,0.969,100.805,1340.4
23/09/2016 00:00,1.359,6.665,0.891,0.771,0.97,101.005,1337.2
26/09/2016 00:00,1.36,6.667,0.889,0.771,0.969,100.295,1339.6
27/09/2016 00:00,1.36,6.674,0.891,0.768,0.97,100.42,1328.7
28/09/2016 00:00,1.359,6.668,0.892,0.768,0.971,100.725,1319.4
29/09/2016 00:00,1.364,6.668,0.891,0.771,0.966,101.095,1321.6
30/09/2016 00:00,1.363,6.672,0.89,0.771,0.971,101.34,1312.9
03/10/2016 00:00,1.365,6.694,0.892,0.779,0.973,101.625,1309.0
04/10/2016 00:00,1.371,6.671,0.893,0.786,0.979,102.91,1267.0
05/10/2016 00:00,1.37,6.672,0.892,0.784,0.974,103.51,1266.9
06/10/2016 00:00,1.372,6.703,0.897,0.793,0.981,103.97,1254.8
07/10/2016 00:00,1.373,6.675,0.893,0.804,0.977,102.94,1250.3
10/10/2016 00:00,1.375,6.711,0.898,0.809,0.983,103.65,1257.0
11/10/2016 00:00,1.38,6.72,0.905,0.826,0.989,103.575,1253.8
12/10/2016 00:00,1.384,6.73,0.908,0.82,0.99,104.25,1252.0
13/10/2016 00:00,1.382,6.73,0.905,0.816,0.986,103.665,1255.0
14/10/2016 00:00,1.39,6.73,0.912,0.821,0.99,104.205,1253.1
17/10/2016 00:00,1.389,6.737,0.909,0.821,0.989,103.905,1255.0
18/10/2016 00:00,1.386,6.742,0.911,0.813,0.99,103.86,1261.0
19/10/2016 00:00,1.387,6.736,0.911,0.814,0.989,103.39,1267.9
20/10/2016 00:00,1.392,6.744,0.915,0.816,0.993,103.95,1265.6
21/10/2016 00:00,1.394,6.76,0.919,0.818,0.993,103.845,1265.9
24/10/2016 00:00,1.393,6.776,0.92,0.818,0.994,104.245,1262.0
25/10/2016 00:00,1.39,6.781,0.918,0.821,0.994,104.215,1271.3
26/10/2016 00:00,1.391,6.778,0.917,0.817,0.994,104.505,1272.0
27/10/2016 00:00,1.395,6.79,0.918,0.822,0.993,105.23,1267.9
28/10/2016 00:00,1.392,6.743,0.91,0.82,0.988,104.715,1278.5
31/10/2016 00:00,1.391,6.777,0.912,0.817,0.99,104.835,1273.0
01/11/2016 00:00,1.388,6.765,0.904,0.817,0.975,103.97,1285.9
02/11/2016 00:00,1.384,6.756,0.901,0.813,0.973,103.325,1305.7
