,TALUSD
586,1.1411492617609316
587,1.1418046209228088
588,1.1427746845056515
589,1.1500954501963994
590,1.144447777551918
591,1.1398894231191286
592,1.140680669527752
593,1.1401524205605307
594,1.1410016674088077
595,1.1368356714865528
596,1.1405142865145843
597,1.1414562937542492
598,1.1424731704152211
599,1.139138125940048
600,1.144128870022541
601,1.1492618785568953
602,1.149716607693886
603,1.1436659604492398
604,1.1396720156682463
605,1.140760939410522
606,1.144581515159919
607,1.1435472616521036
608,1.1433458769173173
609,1.1429872565690793
610,1.138916584371798
611,1.1382714990204563
612,1.1441567652583444
613,1.1426952767247887
614,1.1484567671738242
615,1.1471821024334155
616,1.15014953882192
617,1.1552176927896665
618,1.1581054817872487
619,1.1574533871028225
620,1.1665312816159823
621,1.16571868879937
622,1.1627273981511714
623,1.1595733032401994
624,1.1609677889052745
625,1.157640762123397
626,1.1489192336368088
627,1.1467476506099792
628,1.1466175713194118
629,1.1459158640565612
630,1.1428413187085442
